,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,track_id,vocabulary_wealth
80236,1.18,3.02,57,432,0.38345864661654133,3MbIv9zr1mIv5G1KPWRUfI,0.34
80237,1.23,3.92,59,431,0.08649912331969609,7DFNE7NO0raLIUbgzY2rzm,0.39
80238,-1.0,-1.0,-1,-1,-1.0,11wKe8bZjcb3npZX6aAcXi,-1.0
80239,1.44,5.5,36,326,0.009523809523809525,1Td1VKv9mzF6zjFBe8TLgC,0.7
80240,2.17,4.62,86,675,0.0035567715458276333,5E5ZlB326jlVokLTLvW6My,0.72
80241,1.21,2.6,48,287,0.09574468085106383,5eLNdfY6Lq79aMQmVwEQYg,0.5
80242,1.27,3.15,59,334,0.018118059614260665,26NX1wPt1TRCH536yocd6i,0.54
80243,1.95,3.53,96,606,0.029166666666666667,08MQI93SDisdfNxF3Ae9Tw,0.52
80244,1.69,9.64,2519,39111,0.0008040559736471443,7boKWlaNVmrhJdX8IbzUdD,0.25
80245,1.82,4.08,93,515,0.0345956054230949,2UABsasLI0UY3aZamuWCYk,0.65
80246,2.05,3.61,18,103,0.032679738562091505,2MppkuHNUULZ5RXRKAeQvC,0.7
80247,1.24,3.26,42,237,0.047619047619047616,41WTP0gosjYD74B06uS2tL,0.56
80248,-1.0,-1.0,-1,-1,-1.0,26krqFBg6lylTse1mtW5Ef,-1.0
80249,-1.0,-1.0,-1,-1,-1.0,4pp3ilXwxKvWRsDSm3Ld8K,-1.0
80250,1.54,3.7,70,435,0.05300207039337474,5L0rCp6odhtamslWTWalvF,0.42
80251,2.05,3.61,18,103,0.032679738562091505,3KyNk4SPljvyIBP3QjMZmf,0.7
80252,1.23,3.84,51,311,0.05333333333333334,5nNTGNbxS30PX6sZpYh9hJ,0.36
80253,1.2,3.57,53,324,0.057329462989840346,1iQpStZpzBb5TOuTDKJKdj,0.45
80254,1.4,3.91,33,208,0.001893939393939394,0w0PumBuaeo5oywrvabOjB,0.74
80255,2.12,3.6,91,528,0.009523809523809525,1ZeDhph4eTRaC8VICOBIpa,0.67
80256,-1.0,-1.0,-1,-1,-1.0,6bZLnP9lEqExU9sZ1ow97T,-1.0
80257,1.23,3.88,77,536,0.03827751196172249,31acMiV67UgKn1ScFChFxo,0.41
80258,1.15,3.02,44,225,0.1511627906976744,4cMKvXUOLFbC6lRLCz5HPg,0.49
80259,-1.0,-1.0,-1,-1,-1.0,0mobnl2SM87n91A4Mx964e,-1.0
80260,1.31,3.71,42,365,0.09523809523809523,3oX7mirxBRvDN78LO7zt8n,0.45
80261,2.05,3.61,18,103,0.032679738562091505,3AoLoamKawLJniYHkncKDM,0.7
80262,1.26,3.4,47,256,0.027752081406105456,3wXfCHYjRS4dNbizZYdeB9,0.6
80263,1.23,3.0,32,153,0.08870967741935484,4dYQ2i4yH70kKhUXMypICn,0.49
80264,1.4,3.91,33,208,0.001893939393939394,078ncsOGPoX4WqUC8NMBPD,0.74
80265,1.31,3.71,42,365,0.09523809523809523,4Xf4XTwmxHIm24UcDjOuzV,0.45
80266,-1.0,-1.0,-1,-1,-1.0,2nWaCx01NEEmNLRjyujwJB,-1.0
80267,2.09,4.47,45,289,0.23535353535353534,1qBxAo3bNoY5extpkA5vBI,0.38
80268,1.31,3.36,39,275,0.008097165991902834,5gyOYM38bMhQJTia4p9FKp,0.69
80269,-1.0,-1.0,-1,-1,-1.0,0RMQgXHIBTsAVcaS7qahLq,-1.0
80270,1.25,2.23,92,316,0.13282369804108934,7I3NnAXa8eyBL2zToskhc5,0.46
80271,2.05,3.61,18,103,0.032679738562091505,22X2xK5djxVhhjYAmT14bC,0.7
80272,-1.0,-1.0,-1,-1,-1.0,4gngAPZQczCmQQJOWnkDJk,-1.0
80273,-1.0,-1.0,-1,-1,-1.0,5Cb4MaCBcLmd10Cl3wC74u,-1.0
80274,1.21,5.63,19,165,0.2222222222222222,1S7VWDpdcFFzNVg6ZQNpRg,0.42
80275,1.22,3.9,77,529,0.05365686944634313,4FTdqVASPQnV80sl85fVxx,0.5
80276,1.33,3.19,26,140,0.03076923076923077,4t4nnU6XVNxie1nIAMwGo5,0.62
80277,1.57,5.07,30,236,0.04367816091954023,3qDrsjPIHguiFH52vRjM6w,0.67
80278,-1.0,-1.0,-1,-1,-1.0,20eSQOezm2tHO6LX1OeXat,-1.0
80279,1.12,4.34,38,239,0.04551920341394026,2QnekPkVoCLJjjBzLLUpyl,0.37
80280,1.22,3.38,66,416,0.020046620046620046,7gPQVoMsDbRzqpCWxnitwh,0.66
80281,1.21,2.62,65,303,0.06586538461538462,4eTgZVY8daHajO8w3zahCa,0.47
80282,-1.0,-1.0,-1,-1,-1.0,4Ssge1iHy40Jxtzwpl8hWg,-1.0
80283,-1.0,-1.0,-1,-1,-1.0,31Da0niwyad9rpN7P2996z,-1.0
80284,1.12,4.34,38,239,0.04551920341394026,4tELPC3XSTG4KXntjidNfZ,0.37
80285,1.22,3.38,66,416,0.020046620046620046,3GaMSYStaOgoY66znUI6eX,0.66
80286,1.29,4.24,29,207,0.054187192118226604,1idI61iQ6B4A5SgUuS99cd,0.61
80287,1.31,2.53,19,78,0.22807017543859648,1UJVTc5ZBlxwpvfA6EQf4A,0.6
80288,-1.0,-1.0,-1,-1,-1.0,5lF09Xpw08revSYkpwRpVM,-1.0
80289,1.12,4.34,38,239,0.04551920341394026,17oieV1h3EkVMwcQgd6010,0.37
80290,2.06,4.45,58,368,0.06896551724137931,4kaekLlDGohbkySy9fGRVM,0.43
80291,1.19,3.07,29,145,0.024630541871921183,5Gg8XlEKwLlTbvYYdjseuT,0.62
80292,-1.0,-1.0,-1,-1,-1.0,33GiVvicR6iUWUHcjHpH4u,-1.0
80293,-1.0,-1.0,-1,-1,-1.0,1JQIgTMYI7nkrzYuWbIOTR,-1.0
80294,-1.0,-1.0,-1,-1,-1.0,1LNQsXkDL9eOXguRyp72kW,-1.0
80295,1.22,3.74,62,423,0.05817028027498678,43HIlAHRIQf8l1wl1kb538,0.4
80296,2.05,3.61,18,103,0.032679738562091505,7yhMRJ4UAMQqBoueawDEVV,0.7
80297,-1.0,-1.0,-1,-1,-1.0,7s4rXsF2uAeechqkvLrwK6,-1.0
80298,-1.0,-1.0,-1,-1,-1.0,23HykWgKpB4MkjqDHPbQIX,-1.0
80299,-1.0,-1.0,-1,-1,-1.0,3msNXnHGQSWzAECfj9C2At,-1.0
80300,1.29,2.72,71,320,0.14969818913480884,7cLmN7asvyfZ5cn9oAcpam,0.46
80301,2.05,3.61,18,103,0.032679738562091505,4gCmuAYwpDPkTov5LKIQzU,0.7
80302,1.15,2.83,76,345,0.08807017543859649,4jacsL77ZYnpInmTtUBaJW,0.33
80303,-1.0,-1.0,-1,-1,-1.0,285ieonEuLkll3zknYK2TY,-1.0
80304,-1.0,-1.0,-1,-1,-1.0,28thvLE6N6yWqDSeuheEQE,-1.0
80305,1.28,2.96,69,365,0.1628303495311168,6Wgh8KuahUMTr1EGQAsTGZ,0.38
80306,-1.0,-1.0,-1,-1,-1.0,5vq6XgXetXEGhVvnKQUPkU,-1.0
80307,1.31,2.53,19,78,0.22807017543859648,6zyRNdOZbIX9U2LszJf8mq,0.6
80308,-1.0,-1.0,-1,-1,-1.0,5x3lpVdpLCWlbliQ7RY9pF,-1.0
80309,-1.0,-1.0,-1,-1,-1.0,5hWjIPTtvTwcwExBbyZgm3,-1.0
80310,1.36,3.12,32,148,0.17540322580645162,36wm1WBVArEbnIgtkT3abj,0.55
80311,-1.0,-1.0,-1,-1,-1.0,1S5DG6qHSlZOoIQ7gTDt2G,-1.0
80312,1.31,2.53,19,78,0.22807017543859648,75s4qhRF2knP9jx2vDWMC2,0.6
80313,-1.0,-1.0,-1,-1,-1.0,4y5Kcr1AAUTM5GccgHEMC2,-1.0
80314,-1.0,-1.0,-1,-1,-1.0,2m1NjIVTEX9F2lMA0Wighm,-1.0
80315,1.2,2.44,55,258,0.06060606060606061,4Q7uJoiHAwtJPE1iPmzaRE,0.54
80316,-1.0,-1.0,-1,-1,-1.0,2KEfaV85rRrijohxW6WJoA,-1.0
80317,1.5,4.5,76,468,0.03192982456140351,42KbmH5H47WGQH6dBaCLsq,0.62
80318,-1.0,-1.0,-1,-1,-1.0,4qBd43WW9K84iD7nvorw91,-1.0
80319,-1.0,-1.0,-1,-1,-1.0,3KCkT2jynJKSztCMBVk12w,-1.0
80320,1.27,4.48,73,519,0.04071537290715373,6Ikee8LR3HPCpfLIxN4vop,0.41
80321,-1.0,-1.0,-1,-1,-1.0,0yfLOwZmzWmdFLPmmQhGd0,-1.0
80322,-1.0,-1.0,-1,-1,-1.0,6hbnmWKeh42Nwhb4tkMzQK,-1.0
80323,-1.0,-1.0,-1,-1,-1.0,3M4cqqg7uhaP4U9233JDPG,-1.0
80324,1.12,4.34,38,239,0.04551920341394026,5W8JlCRUJgcWift17Y1XCT,0.37
80325,1.2,4.38,45,329,0.16363636363636364,5Oro1Q9K21kVZkqzcuF2Rz,0.4
80326,2.05,3.61,18,103,0.032679738562091505,5u3dQPR3T227ea7NmFHQue,0.7
80327,-1.0,-1.0,-1,-1,-1.0,7sH9EQcLsjPIW4hXlG3t66,-1.0
80328,1.16,2.26,78,290,0.14285714285714285,2baqmzRDyPgEUmxbzuyczm,0.45
80329,-1.0,-1.0,-1,-1,-1.0,0UFHE3RTYMn41syux99CvF,-1.0
80330,1.25,2.52,27,108,0.045584045584045586,4CdV9f377p2rBNTqy1b1py,0.59
80331,2.05,3.61,18,103,0.032679738562091505,6NtvFR6X5hckVhqsfX5WOA,0.7
80332,1.34,3.16,45,256,0.049494949494949494,0JN7vUgUolHGHFrOR8xk7S,0.67
80333,1.16,2.26,78,290,0.14285714285714285,0vUIDEAZfLQWRftPSJZmM7,0.45
80334,1.81,3.88,49,309,0.0663265306122449,0RGRcMtokeaLUNAhqNIfKw,0.56
80335,1.25,2.52,27,108,0.045584045584045586,29HngRNSQ6OOqDmFuGdgpd,0.59
80336,1.56,2.49,45,166,0.00909090909090909,4ZRY58aEy2TsixskDcEOIJ,0.75
80337,1.18,2.52,48,221,0.0797872340425532,5AnCLGg35ziFOloEnXK4uu,0.41
80338,2.04,2.92,26,116,0.024615384615384615,3kA5MqTIH8UHCPPy3hooeF,0.72
80339,2.39,2.94,32,160,0.03024193548387097,7BwxbmYFy0l3ROHDjV2c14,0.64
80340,1.19,3.45,64,365,0.06746031746031746,30qAvgWI32mAdor17yJiFQ,0.47
80341,1.33,3.41,41,272,0.03536585365853658,6kaD0ve95sXjnq6EITyVkv,0.62
80342,1.12,2.24,49,187,0.09523809523809523,6ebxt3Iylxe0GcEuUGlIvb,0.45
80343,-1.0,-1.0,-1,-1,-1.0,6vVqtVkhpdxnCs9zlrdDBY,-1.0
80344,2.07,2.62,72,299,0.059076682316118935,3czu3LdNnduqXfrtJZclHp,0.59
80345,1.19,3.45,64,365,0.06746031746031746,63hX9QtDYzbhusLBf7fXTJ,0.47
80346,1.65,2.83,53,220,0.03918722786647315,5XCeCprrLZHLHHmKxYOXq1,0.59
80347,1.09,3.97,32,227,0.14112903225806453,2Y1nYcVwVnPOn1FHZ0dc5L,0.37
80348,1.17,3.99,75,466,0.0609009009009009,1OAh8uOEOvTDqkKFsKksCi,0.53
80349,1.79,2.04,50,177,0.022857142857142857,49dQ71MlhQ52PHevsNHgj8,0.74
80350,1.29,3.0,56,285,0.046753246753246755,7lOc99tdh20kxMr37rarhx,0.52
80351,1.28,5.12,107,885,0.044436607300299774,2UXjdnCvgGGIXLrAwCVVQT,0.39
80352,1.23,2.47,58,214,0.07743496672716274,3LcLZKzsZi0aCX4yuccExA,0.38
80353,1.04,3.71,69,555,0.30477408354646207,69kOkLUCkxIZYexIgSG8rq,0.26
80354,1.97,3.38,47,256,0.04995374653098982,2bvO1KXbUd4vySCWGNqIIa,0.62
80355,1.23,3.36,98,504,0.02188091731537976,1D9KEXIrlmPUkMTdYzqgX4,0.61
80356,1.61,4.6,57,365,0.020676691729323307,4J6SkLsDpuN7R52TokaDQk,0.71
80357,1.3,4.02,60,381,0.05423728813559322,490ZWEeZMm0vkfGlybmUZo,0.43
80358,1.21,3.73,60,382,0.024858757062146894,5Z6JNzQNHrBFdi31XAbAR4,0.53
80359,2.0,3.88,43,307,0.02547065337763012,1fHp293tqlQYfAU7vDWIFc,0.61
80360,1.55,3.27,30,151,0.0367816091954023,1ybgqKB32YyuYRylDwnDZY,0.61
80361,1.44,4.77,47,404,0.05735430157261795,4M8Bv33uW6xPHXxvpaHkmR,0.65
