track_id,release_year,decade,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,artist_popularity,followers,mean_syllables_word,mean_words_sentence,n_sentences,n_words,sentence_similarity,vocabulary_wealth
4q1WaJZoHTtojqDHX8QvaC,2017.0,2010s,0.85,0.63,0.303,0.0,0.0718,0.0402,97.918,0.527,46.0,463.0,1.24,3.29,49.0,266.0,0.0731292517006802,0.38
4qdLrUylDlJ2GdF31tvckT,2018.0,2010s,0.118,0.74,0.696,0.0,0.132,0.261,96.1,0.712,48.0,17300.0,1.24,3.57,102.0,613.0,0.0246554067171423,0.6
2BD6u0rlwDrRyjPzw9pew5,2009.0,2000s,0.989,0.183,0.0886,0.22,0.101,0.0376,103.08,0.059,42.0,9317.0,1.26,3.0,13.0,56.0,0.0256410256410256,0.74
3jZszRgC0VgraMCQyVWDP9,2018.0,2010s,0.711,0.451,0.297,2.36e-05,0.23,0.0311,108.939,0.371,12.0,187.0,1.44,3.1,81.0,385.0,0.278395061728395,0.28
20DtgRNgTH7SdwPL1tjEr1,2018.0,2010s,0.277,0.61,0.819,0.0,0.62,0.217,94.281,0.454,42.0,310.0,1.28,4.75,51.0,425.0,0.0196078431372549,0.69
401Xo6kdmYwDZ5l0RDsjC4,2017.0,2010s,0.0225,0.551,0.624,0.0,0.365,0.0347,144.031,0.329,40.0,1337.0,1.15,3.43,54.0,384.0,0.0726764500349406,0.56
2XiczxQ5P4P6z3XrZhHHo0,2018.0,2010s,0.191,0.582,0.483,0.0403,0.161,0.0326,91.997,0.418,39.0,163.0,2.0,3.33,89.0,440.0,0.0163432073544433,0.59
6Bl5ov7N6sw7MetxdtafFT,2018.0,2010s,0.37,0.741,0.725,1.65e-05,0.101,0.0543,98.916,0.611,50.0,13668.0,1.15,4.37,86.0,539.0,0.0478796169630642,0.44
78MsJLmeDrbwvGWlEUPBOd,2018.0,2010s,0.241,0.703,0.709,0.00888,0.263,0.0452,118.006,0.383,46.0,2100.0,1.22,2.47,45.0,190.0,0.0353535353535353,0.51
5ofNAT7jD9ps0O7DVBKJwO,2018.0,2010s,0.86,0.729,0.0908,0.0,0.103,0.0588,155.872,0.358,41.0,3721.0,1.33,3.94,72.0,408.0,0.0453834115805946,0.4
1VsuSOEVhuCaybeb1rFeCM,2003.0,2000s,0.0855,0.809,0.728,3.33e-06,0.303,0.0533,204.192,0.967,42.0,6447.0,1.26,3.11,71.0,371.0,0.0249496981891348,0.63
6fR6tEeJ8hVHIyAOQvsk4z,2018.0,2010s,0.913,0.598,0.264,7.96e-05,0.074,0.0307,76.015,0.416,37.0,697.0,1.14,2.59,39.0,240.0,0.0701754385964912,0.48
5Lc24nn70WSNSHfk9tAEtz,2003.0,2000s,0.0031,0.929,0.365,0.0,0.053,0.0705,95.021,0.865,46.0,45138.0,1.21,4.12,69.0,428.0,0.1121057118499573,0.3
0CPOpfnSiGwlyLZz2oTQGX,2018.0,2010s,0.0253,0.735,0.858,0.0,0.148,0.0515,114.04,0.386,32.0,7.0,1.21,3.5,32.0,181.0,0.0463709677419354,0.62
0xEHjdXNzYtLyO5VnZw77b,2018.0,2010s,0.645,0.845,0.596,0.00492,0.115,0.0438,95.011,0.387,58.0,60914.0,1.29,2.72,71.0,320.0,0.1496981891348088,0.46
5fpoDuxvBBNy69mgzIMMrI,2010.0,2010s,0.00907,0.801,0.819,1.32e-05,0.0652,0.107,140.009,0.893,21.0,107.0,1.2,3.53,91.0,438.0,0.0302808302808302,0.57
7q3qX7Ees3FZtRFJXWgPZs,2001.0,2000s,0.063,0.637,0.929,0.00796,0.318,0.0447,136.482,0.604,47.0,72491.0,1.42,4.06,52.0,311.0,0.1583710407239819,0.47
2UB5xkPwY3Y2tVD0GbIccf,2018.0,2010s,0.318,0.771,0.753,0.0,0.0835,0.116,133.346,0.623,37.0,464.0,1.22,4.41,49.0,275.0,0.0280612244897959,0.57
0BpoeiBzKq1WI8dYI9p4T4,2019.0,2010s,0.0523,0.732,0.52,1.06e-06,0.0871,0.0426,110.029,0.379,31.0,86.0,1.15,3.47,57.0,288.0,0.043859649122807,0.52
6ly3JE8cglamVFEAvqwqzc,2018.0,2010s,0.0714,0.578,0.645,0.000681,0.0804,0.0284,93.956,0.148,44.0,10349.0,1.11,2.48,44.0,210.0,0.0739957716701902,0.48
4UluFGXeIzL3SGLrX7qwuy,2016.0,2010s,0.0228,0.712,0.822,0.0,0.37,0.151,107.99,0.782,57.0,101663.0,1.51,2.78,63.0,291.0,0.0491551459293394,0.67
5crUoUnVrtjHaHHhDQuf8z,2015.0,2010s,0.42,0.832,0.735,0.0011,0.0685,0.0405,130.006,0.733,41.0,42266.0,2.15,2.66,32.0,137.0,0.0282258064516129,0.69
1oKpNOp3OkYDoIZXVbU3XT,2018.0,2010s,0.181,0.764,0.803,1.6e-05,0.24,0.0304,108.0,0.562,59.0,2701.0,1.08,4.53,60.0,340.0,0.1016949152542373,0.38
4i43AeE2HzgIpPC3ftNvhx,2012.0,2010s,0.0171,0.845,0.766,0.118,0.346,0.0554,124.993,0.857,12.0,313.0,1.24,3.07,69.0,354.0,0.1167945439045183,0.39
4QlC4HmIyo2nO0l0bRrgdm,1996.0,1990s,0.0189,0.757,0.896,2.13e-05,0.113,0.0574,107.989,0.583,33.0,6029.0,1.28,3.63,60.0,411.0,0.035593220338983,0.54
38rj3cH6qGnUfqVixVOwBm,2018.0,2010s,0.0391,0.666,0.609,0.0012,0.261,0.0776,100.08,0.434,35.0,606.0,1.14,4.04,53.0,321.0,0.0391872278664731,0.45
04qrVtScdD4IBGSL5q6yEv,2017.0,2010s,0.164,0.565,0.553,3.92e-05,0.0908,0.105,146.67,0.67,35.0,196.0,1.29,3.0,56.0,285.0,0.0467532467532467,0.52
5IXh97bXm3Xf04REp19HqK,2006.0,2000s,0.641,0.789,0.811,0.0,0.0677,0.298,95.922,0.912,47.0,55944.0,1.35,3.94,108.0,705.0,0.1031498788508134,0.59
35bGZ0hG27HIz9ZnTGNr7N,2017.0,2010s,0.0859,0.689,0.726,0.0,0.0515,0.16,101.727,0.813,39.0,2269.0,1.22,4.19,88.0,595.0,0.0355276907001044,0.52
224hAVNiYFjIxwXPK4rwwC,2018.0,2010s,0.575,0.722,0.476,0.0,0.294,0.1,129.994,0.259,57.0,53839.0,1.31,4.4,43.0,345.0,0.0487264673311184,0.68
